REGISTER_ID,OUTLET_ID,REGISTER_NAME,CASH_ACCOUNT,CASH_ACCOUNT_ID,BANK_ACCOUNT,BANK_ACCOUNT_ID,VERSION,DELETED_AT,REGION,GIFT_ACCOUNT,GIFT_ACCOUNT_ID
412,268,RYDSHIFA,Cash RYDSHIFA,3E+14,AL Jazeerah RYDSHIFA,3E+14,,,SA,,
467,330,MAKAHMEJAZ,Cash MAKAHMEJAZ,3E+14,AL Jazeerah Bank MAKAHMEJAZ,3E+14,,,SA,,
468,331,KUWTMARINA,Cash Account KUWTMARINA,3E+14,National Bank of Kuwait KWD - ACC #******,3E+14,,,KW,,
469,332,NAJKINGROD,Cash NAJKINGROD,3E+14,AL Jazeerah Bank NAJKINGROD,3E+14,,,SA,,
474,333,RYDSAWARIP,Cash RYDSAWARIP,3E+14,AL Jazeerah Bank RYDSAWARIP,3E+14,,,SA,,
475,334,NAJRANPLZA,Cash NAJRANPLZA,3E+14,AL Jazeerah Bank NAJRANPLZA,3E+14,,,SA,,
476,335,ABHATIMSQR,Cash ABHATIMSQR,3E+14,AL Jazeerah Bank ABHATIMSQR,3E+14,,,SA,,
477,336,ALARIDAH,Cash ALARIDAH,3E+14,AL Jazeerah Bank ALARIDAH,3E+14,,,SA,,
478,337,SAMTAHMALL,Cash SAMTAHMALL,3E+14,AL Jazeerah Bank SAMTAHMALL,3E+14,,,SA,,
479,338,JEDANDLUS2,Cash JEDANDLUS2,3E+14,AL Jazeerah Bank JEDANDLUS2,3E+14,,,SA,,
482,339,SABIAYASMN,Cash SABIAYASMN,3E+14,AL Jazeerah Bank SABIAYASMN,3E+14,,,SA,,
484,343,DUBSILCNML,Cash DUBSILCNML,3E+14,Abu Dhabi Islamic Bank Account AED,3E+14,,,AE,,
502,358,UWALKJED,Cash UWALKJED,3E+14,AL Jazeerah Bank UWALKJED,3E+14,,,SA,,
512,370,BARKAOMN,Cash BARKAOMN,3E+14,Oman Arab Bank Account- ACC # 3106-573999-500,3E+14,,,OM,,
514,373,GALRYRYD2,Cash GALRYRYD2,3E+14,AL Jazeerah Bank GALRYRYD2,3E+14,,,SA,,
515,374,LELEMALL,Cash LELEMALL,3E+14,AL Jazeerah Bank LELEMALL,3E+14,,,SA,,
516,376,HIRAAJED,Cash HIRAAJED,3E+14,AL Jazeerah Bank HIRAAJED,3E+14,,,SA,,
518,378,MTHNBOTHAM,Cash MTHNBOTHAM,3E+14,AL Jazeerah Bank MTHNBOTHAM,3E+14,,,SA,,
