ROW_ID,BILL_TO_NAME,BILL_TO_ACCOUNT,STD_RCPT_NO,Address_SITE_NUMBER,BUSINESS_UNIT,TXN_SOURCE,TXN_TYPE,RATE_IS_CORPORATE,REC_ACTIVITY_NAME_BANK,SUBINVENTORY,INTEGRATION_SOURCE,DISTRIBUTION_ACC_ID,REC_ACTIVITY_NAME_CASH,REGION,CUSTOMER_TYPE,COST_CENTER_CODE
705,Hungerstation,45014,31088,210050,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,NOUR,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0302
706,Hungerstation,45014,31049,210034,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TABOUK,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1501
707,Hungerstation,45014,31064,210063,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,REDSEA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0202
708,Hungerstation,45014,31076,210060,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RYDGALLER,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0102
709,Hungerstation,45014,31061,210042,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SALAMAH,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1201
710,Hungerstation,45014,31077,210068,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SALAMJED,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0208
711,Hungerstation,45014,31051,210044,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TAHLIA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0201
712,Hungerstation,45014,31058,210053,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TALAMALL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0106
713,Hungerstation,45014,31050,210037,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TAWAREN,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0101
714,Hungerstation,45014,31052,210055,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,WESTAVENUE,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0702
715,Hungerstation,45014,31068,210045,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,YASMEEN,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0207
603,Hungerstation,45014,31062,210057,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ZAHRAN,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0601
604,Hungerstation,45014,31067,210041,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,EHSAA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0801
605,Hungerstation,45014,31048,210056,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,JUBAIL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0901
606,Hungerstation,45014,31082,210058,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,NAKJPLAZA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1101
607,Hungerstation,45014,31083,210070,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,AMWAJ,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0401
608,Hungerstation,45014,31066,210035,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ASEER,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0501
609,Hungerstation,45014,31080,210048,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAMRAA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0108
610,Hungerstation,45014,31073,210031,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAYAT,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0104
611,Hungerstation,45014,31074,210040,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MANAR,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0301
612,Hungerstation,45014,31057,210052,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,NAKHELMALL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0105
613,Hungerstation,45014,31060,210032,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SALAMRYD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0109
614,Hungerstation,45014,31087,210043,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ALULA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1502
615,Hungerstation,45014,31059,210064,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ANDLUS,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0203
616,Hungerstation,45014,31075,210047,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ARABMALL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0210
617,Hungerstation,45014,31065,210067,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,AZIZMALL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0206
638,Hungerstation,45014,31047,210054,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,DAREEN,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0701
671,Hungerstation,45014,31086,210038,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MAKTOWER,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1402
674,Hungerstation,45014,31074,210040,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ONAIZAH,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1102
4614,Hungerstation,45014,56019,449126,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,AJAWEED,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0216
9614,Hungerstation,45014,56020,449127,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RYDAVENUE,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0116
14614,Hungerstation,45014,56021,449128,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RYDPARK,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0117
19614,Hungerstation,45014,56022,449129,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,OBHURMALL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0217
24614,Hungerstation,45014,56023,449130,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAMDANIIYA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0218
